# bmr_kjph: basal metabolic rate in kilojoules per hour
# Food: A/T, ants & termites; B, bulbs & roots; F, fruit; G, grass; I, insects; IV, invertebrates; L, leaves; O, omnivorous; N, nectar; S, seeds; V, vertebrates; W, worms
# Climate: T, temperate; TR, tropical; P, polar; W, widespread
# Habitat: D, desert; FW, freshwater; M, mesic; MW, marine water; X, xeric; W, widespread
# Substrate: AQ, aquatic; B, burrowing; C, caves; FOSS, fossorial, T, terrestrial; TR, trees
# Torpor?: HIB, hibernation; N, no; Y, yes; ? unknown
# Islands?: N, no; Y, yes (only on islands)
# Mountains?: N, no; Y, yes (only in mountains)
species,mass_g,bmr_kjph,food,climate,habitat,substrate,torpor,islands,mountains,reference
Lutra lutra,10000,90.36,V,W,FW,AQ,N,N,N,Iversen (1972)
Enhydra lutris,18000,260.24,V/IV,T,MW,AQ,N,N,N,Morrison et al. (1974)
Mustela nivalis,77,3.54,V,T,W,T,N,N,N,Casey and Casey (1979)
Mustela erminea,210,6.24,V,T,W,T,N,N,N,Iversen (1972)
Mustela frenata,297,5.67,V,W,W,T,N,N,N,Brown and Lasiewski (1972)
Neovision vison,662,9.76,V,T,M,T,N,N,N,Farrel and Wood (1968)
Martes martes,920,14.78,V,T,M,TR,N,N,N,Iversen (1972)
Martes americana,1038,13.76,V,T,M,T/TR,N,N,N,Worthen and Kilgore (1981)
Mustela putorius,1575,25.30,V,T,W,T,N,N,N,Korhonen et al. (1983)
Eira barbara,2950,24.52,V/F,TR,M,T/TR,N,N,N,McNab (1995)
Taxidea taxus,9000,54.22,V,T,X,B,N,N,N,Harlow (1981)
Meles meles,11050,59.91,O,T,M,B,N,N,N,Iversen (1972)
Gulo gulo,12700,117.31,V,T,W,T,N,N,N,Iversen (1972)
Spilogale putorius,624,5.89,O,T,M,T,N,N,N,Knutsen and Kilgore (1990)
Mephitis mephitis,5667,30.27,O,W,M,T,N,N,N,Knutsen and Kilgore (1990)
Procyon cancrivorus,1160,9.32,O,TR,M,T/TR,N,N,N,Scholander et al. (1950)
Bassariscus sumichrasti,1282,12.74,O,TR,M,TR,N,N,N,Chevalier (1987)
Potos flavus,2400,15.23,F,TR,M,TR,N,N,N,Müller and Kulzer (1977)
Nasua narica,3670,24.25,I/F,TR,M,T/TR,N,N,N,Chevalier (1987)
Nasua nasua,4000,20.08,I/F,TR,M,T/TR,N,N,N,Chevillard-Hugot et al. (1980)
Procyon lotor,4822.5,43.87,O,T,M,T/TR,N,N,N,Mugas et al. (1993)
Ailurus fulgens,5740,17.64,L,T,M,TR,N,N,N,McNab (1988)
Pecari tajacu,20200,116.82,F,T/TR,W,T,N,N,N,Zervanos (1975)
Camelus dromedarius,407000,809.08,G,T,D,T,N,N,N,Schmidt-Nielsen et al. (1967)
Tragulus javanicus,1625,17.59,F,TR,M,T,N,N,N,Whittow et al. (1977)
Capreolus capreolus,19000,149.56,G,T,M,T,N,N,N,Weiner (1977)
Odocoileus virginianus,67625,339.48,G,T/TR,M,T,N,N,N,Silver et al. (1969)
Rangifer tarandus,94100,479.94,G,T,M,T,N,N,N,McEwan (1970)
# Alces americanus,350000,11455.56,B,T,M,T,N,N,N,Reneckker and Hudson (1986)
Cervus elaphus,58000,326.10,G,T,M,T,N,N,N,Brockway and Maloiy (1968)
Antilocapra americana,37800,212.53,G,T,X,T,N,N,N,Wesley et al. (1973)
Oryx leucoryx,84100,374.17,G,T,D,T,N,N,N,Williams et al. (2001)
Connochaetus taurinus,140000,562.24,G,T/TR,X,T,N,N,N,Taylor et al. (1969b)
Madoqua kirkii,4600,38.80,L,TR,X,T,N,N,N,Kamau (1988)
Raphicerus campestris,8500,65.71,B,T/TR,X,T,N,N,N,Haim and Skinner (1991)
Gazella subglutturosa,17100,92.37,L,T,D,T,N,N,N,Ostrowski et al. 2006
Taurotragus oryx,150000,722.88,G,TR,X,T,N,N,N,Taylor and Lyman (1967)
Oreamnos americanus,32000,167.07,G,T,M,T,N,N,N,Krog and Monson (1954)
Ovis canadensis,65000,469.87,G,T,M,T,N,N,N,Chappel and Hudson (1978)
Ovibos moschatus,224500,501.08,G,P,M,T,N,N,N,Nilssen et al. (1994)
Philantomba monticola,4400,37.99,F,T/TR,M,T,N,N,N,Haim and Skinner (1991)
Kobus ellipsiprymnus,100000,536.14,G,TR,M,T,N,N,N,Taylor et al. (1969a)
Tursiops truncates,148600,1163.72,V,T,MW,AQ,N,N,N,T.M.Williams et al. (2001)
Orcinus orca,3221000,7826.00,V,T,MW,AQ,N,N,N,T.M.Williams et al. (2001)
Phocoena phocoena,28500,389.15,V,T,MW,AQ,N,N,N,Kanwisher and Sundnes (1965)
